Hugo_Symbol	Entrez_Gene_Id	Center	Tumor_Sample_Barcode	Fusion	DNA_support	RNA_support	Method	Frame
ERG	NA	broad.mit.edu	PROS10448-1115156-Tumor-SM-5EEBN	TMPRSS2-ERG	Unknown	YES	Unknown	Unknown
ERG	NA	broad.mit.edu	PROS10448-1115157-Tumor-SM-5EEBO	TMPRSS2-ERG	Unknown	YES	Unknown	Unknown
ERG	NA	broad.mit.edu	PROS12319B-SU2C-06115117-Tumor-SM-4W2NC	TMPRSS2-ERG	Unknown	YES	Unknown	Unknown
ERG	NA	broad.mit.edu	PROS12319B-SU2C-06115121-Tumor-SM-4W2NG	TMPRSS2-ERG	Unknown	YES	Unknown	Unknown
ERG	NA	broad.mit.edu	PROS12319B-SU2C-06115122-Tumor-SM-4W2NH	TMPRSS2-ERG	Unknown	YES	Unknown	Unknown
ERG	NA	broad.mit.edu	SC_9003-Tumor	TMPRSS2-ERG	Unknown	YES	Unknown	Unknown
ERG	NA	broad.mit.edu	SC_9009-Tumor	TMPRSS2-ERG	Unknown	YES	Unknown	Unknown
ERG	NA	broad.mit.edu	SC_9016-Tumor	TMPRSS2-ERG	Unknown	YES	Unknown	Unknown
ERG	NA	broad.mit.edu	SC_9017-Tumor	TMPRSS2-ERG	Unknown	YES	Unknown	Unknown
ERG	NA	broad.mit.edu	SC_9018-Tumor	TMPRSS2-ERG	Unknown	YES	Unknown	Unknown
ERG	NA	broad.mit.edu	SC_9020-Tumor	TMPRSS2-ERG	Unknown	YES	Unknown	Unknown
ERG	NA	broad.mit.edu	SC_9022-Tumor	TMPRSS2-ERG	Unknown	YES	Unknown	Unknown
ERG	NA	broad.mit.edu	SC_9026-Tumor	TMPRSS2-ERG	Unknown	YES	Unknown	Unknown
ERG	NA	broad.mit.edu	SC_9033_T	TMPRSS2-ERG	Unknown	YES	Unknown	Unknown
ERG	NA	broad.mit.edu	SC_9034-Tumor	TMPRSS2-ERG	Unknown	YES	Unknown	Unknown
ERG	NA	broad.mit.edu	SC_9035-Tumor	TMPRSS2-ERG	Unknown	YES	Unknown	Unknown
ERG	NA	broad.mit.edu	SC_9037-Tumor	TMPRSS2-ERG	Unknown	YES	Unknown	Unknown
ERG	NA	broad.mit.edu	SC_9043-Tumor	TMPRSS2-ERG	Unknown	YES	Unknown	Unknown
ERG	NA	broad.mit.edu	SC_9046-Tumor	TMPRSS2-ERG	Unknown	YES	Unknown	Unknown
ERG	NA	broad.mit.edu	SC_9049-Tumor	TMPRSS2-ERG	Unknown	YES	Unknown	Unknown
ERG	NA	broad.mit.edu	SC_9056-Tumor	TMPRSS2-ERG	Unknown	YES	Unknown	Unknown
ERG	NA	broad.mit.edu	SC_9059-Tumor	TMPRSS2-ERG	Unknown	YES	Unknown	Unknown
ERG	NA	broad.mit.edu	SC_9060-Tumor	TMPRSS2-ERG	Unknown	YES	Unknown	Unknown
ERG	NA	broad.mit.edu	SC_9061-Tumor	TMPRSS2-ERG	Unknown	YES	Unknown	Unknown
ERG	NA	broad.mit.edu	SC_9063-Tumor	TMPRSS2-ERG	Unknown	YES	Unknown	Unknown
ERG	NA	broad.mit.edu	SC_9066-Tumor	TMPRSS2-ERG	Unknown	YES	Unknown	Unknown
ERG	NA	broad.mit.edu	SC_9069_T	TMPRSS2-ERG	Unknown	YES	Unknown	Unknown
ERG	NA	broad.mit.edu	SC_9071-TM	TMPRSS2-ERG	Unknown	YES	Unknown	Unknown
ERG	NA	broad.mit.edu	SC_9074_T	TMPRSS2-ERG	Unknown	YES	Unknown	Unknown
ERG	NA	broad.mit.edu	SC_9086-TM	TMPRSS2-ERG	Unknown	YES	Unknown	Unknown
ERG	NA	broad.mit.edu	SC_9092-TM	TMPRSS2-ERG	Unknown	YES	Unknown	Unknown
ERG	NA	broad.mit.edu	SC_9097-TM	TMPRSS2-ERG	Unknown	YES	Unknown	Unknown
ERG	NA	broad.mit.edu	SC_9104-Tumor	TMPRSS2-ERG	Unknown	YES	Unknown	Unknown
ERG	NA	broad.mit.edu	SC_9105_Tumor	TMPRSS2-ERG	Unknown	YES	Unknown	Unknown
ERG	NA	broad.mit.edu	SC_9107-Tumor	TMPRSS2-ERG	Unknown	YES	Unknown	Unknown
ERG	NA	broad.mit.edu	SC_9109-Tumor	TMPRSS2-ERG	Unknown	YES	Unknown	Unknown
ERG	NA	broad.mit.edu	SC_9118_Tumor	TMPRSS2-ERG	Unknown	YES	Unknown	Unknown
ERG	NA	broad.mit.edu	SC_9124_Tumor	TMPRSS2-ERG	Unknown	YES	Unknown	Unknown
ERG	NA	broad.mit.edu	SC_9132_Tumor	TMPRSS2-ERG	Unknown	YES	Unknown	Unknown
ERG	NA	broad.mit.edu	SC_9136_Tumor	TMPRSS2-ERG	Unknown	YES	Unknown	Unknown
ERG	NA	broad.mit.edu	SC_9137_Tumor	TMPRSS2-ERG	Unknown	YES	Unknown	Unknown
ERG	NA	broad.mit.edu	SC_9150_Tumor	TMPRSS2-ERG	Unknown	YES	Unknown	Unknown
ERG	NA	broad.mit.edu	SC_9153_Tumor	TMPRSS2-ERG	Unknown	YES	Unknown	Unknown
ERG	NA	broad.mit.edu	SC_9162_Tumor	TMPRSS2-ERG	Unknown	YES	Unknown	Unknown
ERG	NA	broad.mit.edu	SC_9163_Tumor	TMPRSS2-ERG	Unknown	YES	Unknown	Unknown
ERG	NA	broad.mit.edu	SC_9172_Tumor	TMPRSS2-ERG	Unknown	YES	Unknown	Unknown
ERG	NA	broad.mit.edu	SC_9173_Tumor	TMPRSS2-ERG	Unknown	YES	Unknown	Unknown
ERG	NA	broad.mit.edu	SC_9175_T	TMPRSS2-ERG	Unknown	YES	Unknown	Unknown
ERG	NA	broad.mit.edu	SC_9178_T	TMPRSS2-ERG	Unknown	YES	Unknown	Unknown
ERG	NA	broad.mit.edu	SC_9181_T	TMPRSS2-ERG	Unknown	YES	Unknown	Unknown
ERG	NA	broad.mit.edu	SC_9183_T	TMPRSS2-ERG	Unknown	YES	Unknown	Unknown
ERG	NA	broad.mit.edu	SC_9186_T	TMPRSS2-ERG	Unknown	YES	Unknown	Unknown
ERG	NA	broad.mit.edu	SC_9187_T	TMPRSS2-ERG	Unknown	YES	Unknown	Unknown
ERG	NA	broad.mit.edu	SC_9189_T	TMPRSS2-ERG	Unknown	YES	Unknown	Unknown
ERG	NA	broad.mit.edu	SC_9190_T	TMPRSS2-ERG	Unknown	YES	Unknown	Unknown
ERG	NA	broad.mit.edu	SC_9193_T	TMPRSS2-ERG	Unknown	YES	Unknown	Unknown
ERG	NA	broad.mit.edu	SC_9194_T	TMPRSS2-ERG	Unknown	YES	Unknown	Unknown
ERG	NA	broad.mit.edu	SC_9196_T	TMPRSS2-ERG	Unknown	YES	Unknown	Unknown
ERG	NA	broad.mit.edu	SC_9199_T	TMPRSS2-ERG	Unknown	YES	Unknown	Unknown
ERG	NA	broad.mit.edu	SC_9200_T	TMPRSS2-ERG	Unknown	YES	Unknown	Unknown
ERG	NA	broad.mit.edu	SC_9201_T	TMPRSS2-ERG	Unknown	YES	Unknown	Unknown
ERG	NA	broad.mit.edu	TP_2001-Tumor	TMPRSS2-ERG	Unknown	YES	Unknown	Unknown
ERG	NA	broad.mit.edu	TP_2034-Tumor-Bone-Block-3B	TMPRSS2-ERG	Unknown	YES	Unknown	Unknown
ERG	NA	broad.mit.edu	TP_2054-TM	TMPRSS2-ERG	Unknown	YES	Unknown	Unknown
ERG	NA	broad.mit.edu	TP_2069_Tumor	TMPRSS2-ERG	Unknown	YES	Unknown	Unknown
ERG	NA	broad.mit.edu	TP_2077_Tumor	TMPRSS2-ERG	Unknown	YES	Unknown	Unknown
ERG	NA	broad.mit.edu	TP_2079_Tumor	TMPRSS2-ERG	Unknown	YES	Unknown	Unknown
ERG	NA	broad.mit.edu	TP_2093_T	TMPRSS2-ERG	Unknown	YES	Unknown	Unknown
ERG	NA	broad.mit.edu	TP_2096_T	TMPRSS2-ERG	Unknown	YES	Unknown	Unknown
ERG	NA	broad.mit.edu	WCM258_Z2	TMPRSS2-ERG	Unknown	YES	Unknown	Unknown
ERG	NA	broad.mit.edu	WCM335_X1	TMPRSS2-ERG	Unknown	YES	Unknown	Unknown
ERG	NA	broad.mit.edu	WCM89_X1	TMPRSS2-ERG	Unknown	YES	Unknown	Unknown
ERG	NA	broad.mit.edu	PRAD-6115400.0-Tumor-SM-7LGUM	TMPRSS2-ERG	Unknown	YES	Unknown	Unknown
ERG	NA	broad.mit.edu	SC_9016_T	TMPRSS2-ERG	Unknown	YES	Unknown	Unknown
ERG	NA	broad.mit.edu	SC_9035_T	TMPRSS2-ERG	Unknown	YES	Unknown	Unknown
ERG	NA	broad.mit.edu	SC_9056_T	TMPRSS2-ERG	Unknown	YES	Unknown	Unknown
ERG	NA	broad.mit.edu	SC_9086_T	TMPRSS2-ERG	Unknown	YES	Unknown	Unknown
ETV1	NA	broad.mit.edu	SC_9072-TM	TCAF-ETV1	Unknown	YES	Unknown	Unknown
ETV1	NA	broad.mit.edu	PRAD-01115569-Tumor-SM-A56E6	SLC45A3-ETV1	Unknown	YES	Unknown	Unknown
ETV1	NA	broad.mit.edu	PRAD-6115594.0-Tumor-SM-B2XRW	SLC45A3-ETV1	Unknown	YES	Unknown	Unknown
ETV1	NA	broad.mit.edu	PROS12319B-SU2C-06115118-Tumor-SM-4W2ND	SLC45A3-ETV1	Unknown	YES	Unknown	Unknown
ETV1	NA	broad.mit.edu	SC_9129_Tumor	SLC45A3-ETV1	Unknown	YES	Unknown	Unknown
ERG	NA	broad.mit.edu	PROS01448-6115219-Tumor-SM-67ERS	SLC45A3-ERG	Unknown	YES	Unknown	Unknown
ERG	NA	broad.mit.edu	SC_9050-Tumor	SLC45A3-ERG	Unknown	YES	Unknown	Unknown
ERG	NA	broad.mit.edu	SC_9068-Tumor	SLC45A3-ERG	Unknown	YES	Unknown	Unknown
ERG	NA	broad.mit.edu	SC_9099-Tumor	SLC45A3-ERG	Unknown	YES	Unknown	Unknown
ETV1	NA	broad.mit.edu	SC_9019-Tumor	RP11-356O9.1-ETV1	Unknown	YES	Unknown	Unknown
ERG	NA	broad.mit.edu	PRAD-6115402.0-Tumor-SM-7LGUP	MSMB-ERG	Unknown	YES	Unknown	Unknown
ETV4	NA	broad.mit.edu	PRAD-6115596.0-Tumor-SM-B2XS1	HNRNPH1-ETV4	Unknown	YES	Unknown	Unknown
ETV1	NA	broad.mit.edu	SC_9057-Tumor	HNRNPA2B1-ETV1	Unknown	YES	Unknown	Unknown
ETV1	NA	broad.mit.edu	SC_9152_Tumor	HNRNPA2B1-ETV1	Unknown	YES	Unknown	Unknown
FLI1	NA	broad.mit.edu	SC_9007-Tumor	GRHL2-FLI1	Unknown	YES	Unknown	Unknown
ERG	NA	broad.mit.edu	SC_9179_T	GRHL2-ERG	Unknown	YES	Unknown	Unknown
ETV4	NA	broad.mit.edu	TP_2020-Tumor	GPR179-ETV4	Unknown	YES	Unknown	Unknown
ETV4	NA	broad.mit.edu	SC_9065-Tumor	FASN-ETV4	Unknown	YES	Unknown	Unknown
ETV4	NA	broad.mit.edu	SC_9065-TM-Tumor2	FASN-ETV4	Unknown	YES	Unknown	Unknown
ETV5	NA	broad.mit.edu	MO_1008-Tumor_Dura	EIF4A2-ETV5	Unknown	YES	Unknown	Unknown
ETV1	NA	broad.mit.edu	MO_1482_T	CLTC-ETV1	Unknown	YES	Unknown	Unknown
ETV11	NA	broad.mit.edu	PRAD-01115578-Tumor-SM-A56EA	chr14_q21.1-ETV11	Unknown	YES	Unknown	Unknown
ETV1	NA	broad.mit.edu	PRAD-6115393.0-Tumor-SM-7LGUF	chr14_q21.1-ETV1	Unknown	YES	Unknown	Unknown
ETV1	NA	broad.mit.edu	WCM218_Z3	chr14_q21.1-ETV1	Unknown	YES	Unknown	Unknown
ETV1	NA	broad.mit.edu	PM14-TM	CCAR-ETV1	Unknown	YES	Unknown	Unknown
ETV4	NA	broad.mit.edu	PROS10448-1115153-Tumor-SM-5EEBL	CANT1-ETV4	Unknown	YES	Unknown	Unknown
ETV4	NA	broad.mit.edu	TP_2009-Tumor	CANT1-ETV4	Unknown	YES	Unknown	Unknown
ETV1	NA	broad.mit.edu	SC_9055-Tumor	ALOX15B-ETV1	Unknown	YES	Unknown	Unknown
ETV1	NA	broad.mit.edu	SC_9158_Tumor	ALOX15B-ETV1	Unknown	YES	Unknown	Unknown
ETV1	NA	broad.mit.edu	SC_9028-Tumor	AGR2-ETV1	Unknown	YES	Unknown	Unknown
ETV1	NA	broad.mit.edu	PROS12319B-SU2C-06115114-Tumor-SM-4W2N9	ACPP-ETV1	Unknown	YES	Unknown	Unknown
ETV1	NA	broad.mit.edu	SC_9139_Tumor	ACPP-ETV1	Unknown	YES	Unknown	Unknown
BRAF	NA	broad.mit.edu	MO_1096-Tumor	UBN2-BRAF	Unknown	YES	Unknown	Unknown
BRAF	NA	broad.mit.edu	WCM666_X1	TMPRSS2-BRAF	Unknown	YES	Unknown	Unknown
BRAF	NA	broad.mit.edu	SC_9093-TM	LSM1-BRAF	Unknown	YES	Unknown	Unknown
BRAF	NA	broad.mit.edu	MO_1094-Tumor	KIAA1549-BRAF	Unknown	YES	Unknown	Unknown
BRAF	NA	broad.mit.edu	MO_1541_T	KIAA1549-BRAF	Unknown	YES	Unknown	Unknown
RAF1	NA	broad.mit.edu	SC_9058-Tumor	GOLGA4-RAF1	Unknown	YES	Unknown	Unknown
